word,ipa,parameter,description,alternative,comment,translation,glottocode,notes,source
ŋaṱ,,1sg_a,1st (excl) Person Singular,,,,kala1377,
ŋai,,1sg_s,1st (excl) Person Singular,,,,kala1377,
ŋəna,,1sg_o,1st (excl) Person Singular,,,,kala1377,
ŋau, ŋuzu,,1sg_p,1st (excl) Person Singular,,ŋau is masculine, ŋuzu is feminine.,,kala1377,
ŋalbe,,1du_a,1st (excl) Person Dual,,,,kala1377,
ŋalbe,,1du_s,1st (excl) Person Dual,,,,kala1377,
ŋalbe,,1du_o,1st (excl) Person Dual,,,,kala1377,
ŋalben,,1du_p,1st (excl) Person Dual,,,,kala1377,
ŋəi,,1pl_a,1st (excl) Person Plural,,,,kala1377,
ŋəi,,1pl_s,1st (excl) Person Plural,,,,kala1377,
ŋəi,,1pl_o,1st (excl) Person Plural,,,,kala1377,
ŋəimun,,1pl_p,1st (excl) Person Plural,,,,kala1377,
ŋəba,,12du_a,1st (incl) Person Dual,,,,kala1377,
ŋəba,,12du_s,1st (incl) Person Dual,,,,kala1377,
ŋəba,,12du_o,1st (incl) Person Dual,,,,kala1377,
ŋəban,,12du_p,1st (incl) Person Dual,,,,kala1377,
ŋalpa,,12pl_a,1st (incl) Person Plural,,,,kala1377,
ŋalpa,,12pl_s,1st (incl) Person Plural,,,,kala1377,
ŋalpa,,12pl_o,1st (incl) Person Plural,,,,kala1377,
ŋalpan,,12pl_p,1st (incl) Person Plural,,,,kala1377,
ŋiḓ,,2sg_a,2nd Person Singular,,,,kala1377,
ŋi,,2sg_s,2nd Person Singular,,,,kala1377,
ŋin,,2sg_o,2nd Person Singular,,,,kala1377,
ŋinu,,2sg_p,2nd Person Singular,,,,kala1377,
ŋipel,,2du_a,2nd Person Dual,,,,kala1377,
ŋipel,,2du_s,2nd Person Dual,,,,kala1377,
ŋipel,,2du_o,2nd Person Dual,,,,kala1377,
ŋipen,,2du_p,2nd Person Dual,,,,kala1377,
ŋiṱa,,2pl_a,2nd Person Plural,,,,kala1377,
ŋiṱa,,2pl_s,2nd Person Plural,,,,kala1377,
ŋiṱa,,2pl_o,2nd Person Plural,,,,kala1377,
ŋiṱamun,,2pl_p,2nd Person Plural,,,,kala1377,
naḓ,,3sg_m_a,3rd Person Singular Masculine,,,,kala1377,
na,,3sg_m_s,3rd Person Singular Masculine,,,,kala1377,
nan,,3sg_m_o,3rd Person Singular Masculine,,,,kala1377,
nanu,,3sg_m_p,3rd Person Singular Masculine,,,,kala1377,
naḓ,,3sg_f_a,3rd Person Singular Feminine,,,,kala1377,
na,,3sg_f_s,3rd Person Singular Feminine,,,,kala1377,
nan,,3sg_f_o,3rd Person Singular Feminine,,,,kala1377,
nanu,,3sg_f_p,3rd Person Singular Feminine,,,,kala1377,
nuiḓ,,3sg_n_a,3rd Person Singular Neuter,,,,kala1377,
nui,,3sg_n_s,3rd Person Singular Neuter,,,,kala1377,
nuin,,3sg_n_o,3rd Person Singular Neuter,,,,kala1377,
nuŋu,,3sg_n_p,3rd Person Singular Neuter,,,,kala1377,
palai,,3du_m_a,3rd Person Dual Masculine,,,,kala1377,
palai,,3du_m_s,3rd Person Dual Masculine,,,,kala1377,
palai,,3du_m_o,3rd Person Dual Masculine,,,,kala1377,
palamun,,3du_m_p,3rd Person Dual Masculine,,,,kala1377,
palai,,3du_f_a,3rd Person Dual Feminine,,,,kala1377,
palai,,3du_f_s,3rd Person Dual Feminine,,,,kala1377,
palai,,3du_f_o,3rd Person Dual Feminine,,,,kala1377,
palamun,,3du_f_p,3rd Person Dual Feminine,,,,kala1377,
palai,,3du_n_a,3rd Person Dual Neuter,,,,kala1377,
palai,,3du_n_s,3rd Person Dual Neuter,,,,kala1377,
palai,,3du_n_o,3rd Person Dual Neuter,,,,kala1377,
palamun,,3du_n_p,3rd Person Dual Neuter,,,,kala1377,
ṱana,,3pl_m_a,3rd Person Plural Masculine,,,,kala1377,
ṱana,,3pl_m_s,3rd Person Plural Masculine,,,,kala1377,
ṱana,,3pl_m_o,3rd Person Plural Masculine,,,,kala1377,
ṱanamun,,3pl_m_p,3rd Person Plural Masculine,,,,kala1377,
ṱana,,3pl_f_a,3rd Person Plural Feminine,,,,kala1377,
ṱana,,3pl_f_s,3rd Person Plural Feminine,,,,kala1377,
ṱana,,3pl_f_o,3rd Person Plural Feminine,,,,kala1377,
ṱanamun,,3pl_f_p,3rd Person Plural Feminine,,,,kala1377,
ṱana,,3pl_n_a,3rd Person Plural Neuter,,,,kala1377,
ṱana,,3pl_n_s,3rd Person Plural Neuter,,,,kala1377,
ṱana,,3pl_n_o,3rd Person Plural Neuter,,,,kala1377,
ṱanamun,,3pl_n_p,3rd Person Plural Neuter,,,,kala1377,
palai,,3d-a,3rd Person Dual,,,,kala1377,
palai,,3d-s,3rd Person Dual,,,,kala1377,
palai,,3d-o,3rd Person Dual,,,,kala1377,
palamun,,3d-p,3rd Person Dual,,,,kala1377,
ṱana,,3p-a,3rd Person Plural,,,,kala1377,
ṱana,,3p-s,3rd Person Plural,,,,kala1377,
ṱana,,3p-o,3rd Person Plural,,,,kala1377,
ṱanamun,,3p-p,3rd Person Plural,,,,kala1377,
